best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
0.0,real_chemlex_acidamine,0.0,llm_direct_prior_random_rule_r2_amine_branching_effect_hypothesis,42009,100.0,0
63.3687,real_chemlex_acidamine,86.98,llm_direct_prior_random_rule_r2_aromatic_acid_amine_interaction_hypothesis,42009,13.02,0
61.7225,real_chemlex_acidamine,86.98,llm_direct_prior_random_rule_r2_reagent_effect_on_conversion_hypothesis,42009,13.02,0
25.8875,real_chemlex_acidamine,41.42,llm_direct_prior_random_rule_r3_acid_amine_coupling_hypothesis,42009,58.58,0
25.8875,real_chemlex_acidamine,41.42,llm_direct_prior_random_rule_r3_amine_aromatic_interaction_hypothesis,42009,58.58,0
74.2413,real_chemlex_acidamine,86.98,llm_direct_prior_random_rule_r3_amine_branching_effect_hypothesis,42009,13.02,0
25.8875,real_chemlex_acidamine,41.42,llm_direct_prior_random_rule_r3_aromatic_acid_amine_interaction_hypothesis,42009,58.58,0
5.23,real_chemlex_acidamine,35.75,llm_direct_prior_random_rule_r3_reagent_effect_on_conversion_hypothesis,42009,64.25,0
61.7225,real_chemlex_acidamine,86.98,llm_direct_prior_reagent_effect_on_conversion_hypothesis,42009,13.02,0
40.9387,real_chemlex_acidamine,92.77,mixed_kernel_gp_ei,42009,7.23,0
