source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93030,3,12,82.3055,82.3055,10.7685,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93030,3,12,67.7572,65.529058,25.3168,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93030,3,12,62.0592,60.305892,31.0148,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93030,3,12,41.0195,41.0195,52.0545,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93031,3,12,84.9999,84.9999,8.0741,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93031,3,12,77.5576,77.5576,15.5164,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93031,3,12,93.074,85.725392,0.0,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93031,3,12,77.5576,77.5576,15.5164,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93032,3,12,91.0967,86.627925,1.9773,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93032,3,12,69.6579,69.6579,23.4161,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93032,3,12,86.7333,82.344233,6.3407,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93032,3,12,69.6579,69.6579,23.4161,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93033,3,12,75.8866,70.406183,17.1874,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93033,3,12,61.3382,59.989108,31.7358,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93033,3,12,62.0592,59.24085,31.0148,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93033,3,12,45.6814,45.6814,47.3926,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93034,3,12,75.8866,71.113117,17.1874,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93034,3,12,61.3382,57.146575,31.7358,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93034,3,12,67.7572,57.678992,25.3168,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93034,3,12,45.6814,44.780942,47.3926,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93035,3,12,83.3248,80.104767,9.7492,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93035,3,12,61.3382,59.40495,31.7358,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93035,3,12,79.7487,63.980742,13.3253,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93035,3,12,70.0099,70.0099,23.0641,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93036,3,12,91.0967,84.496383,1.9773,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93036,3,12,61.3382,59.862383,31.7358,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93036,3,12,81.6666,81.6666,11.4074,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93036,3,12,52.4833,52.4833,40.5907,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93037,3,12,91.0967,85.7853,1.9773,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93037,3,12,61.982,61.982,31.092,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93037,3,12,84.7378,84.725483,8.3362,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93037,3,12,61.982,61.982,31.092,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93038,3,12,82.3055,79.477475,10.7685,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93038,3,12,61.3382,57.04155,31.7358,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93038,3,12,62.0592,58.313858,31.0148,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93038,3,12,69.2573,66.093433,23.8167,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93039,3,12,93.074,87.03555,0.0,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93039,3,12,62.0592,62.0592,31.0148,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93039,3,12,81.8419,78.74015,11.2321,0,2,1024
