condition,permutation_seed,auc_mean_delta,auc_ci95_low,auc_ci95_high,final_mean_delta,final_ci95_low,final_ci95_high,top10_mean_delta,top10_ci95_low,top10_ci95_high,wins,ties,losses
permuted_source_outcomes_98145,98145,-0.2681068075011653,-0.3695548081708727,-0.16665880683145784,-0.725697094116198,-0.960760092004115,-0.4906340962282809,-0.16,-0.23221677803878427,-0.08778322196121575,25,18,57
permuted_source_outcomes_98146,98146,0.25519370126452495,0.10630908111924359,0.4040783214098063,0.015350104529947294,-0.26324076213015585,0.2939409711900504,-0.16,-0.23221677803878427,-0.08778322196121575,57,10,33
permuted_source_outcomes_98147,98147,0.36193367019419453,0.17835247397637607,0.545514866412013,0.2006052172896365,-0.12495366313510928,0.5261640977143823,-0.16,-0.23221677803878427,-0.08778322196121575,64,12,24
permuted_source_outcomes_98148,98148,-0.050879706557973796,-0.1953061401460521,0.0935467270301045,-0.4328234336169461,-0.7005952644090168,-0.16505160282487547,-0.12,-0.20486477419394866,-0.03513522580605133,40,17,43
permuted_source_outcomes_98149,98149,0.3849840821331471,0.2648064574424166,0.5051617068238776,-0.04763299916534505,-0.28045699156462855,0.18519099323393845,-0.15,-0.22565445102302942,-0.07434554897697057,69,11,20
permuted_source_outcomes_98150,98150,-0.1720069361997234,-0.2905550525311775,-0.05345881986826931,-0.48815493474345684,-0.7481211265526748,-0.2281887429342389,-0.16,-0.23221677803878427,-0.08778322196121575,34,15,51
permuted_source_outcomes_98151,98151,-0.06625606306102899,-0.194609538029303,0.06209741190724502,-0.3697924676020626,-0.639153809641495,-0.10043112556263017,-0.16,-0.23221677803878427,-0.08778322196121575,45,13,42
permuted_source_outcomes_98152,98152,0.5042584857340473,0.3712799167621816,0.637237054705913,1.0507646661318173,0.7390319372000576,1.362497395063577,0.26,0.1571884218287619,0.3628115781712381,68,9,23
permuted_source_outcomes_98153,98153,-0.24993491217999966,-0.36206559632942026,-0.1378042280305791,-0.49964228179798964,-0.7810647673809764,-0.21821979621500287,-0.11,-0.19308573155409292,-0.026914268445907094,24,18,58
permuted_source_outcomes_98154,98154,0.06924940239677085,-0.05425008787362391,0.1927488926671656,-0.13343316524827434,-0.37716912226427873,0.11030279176773006,-0.16,-0.23221677803878427,-0.08778322196121575,55,10,35
permuted_source_outcomes_98155,98155,-0.2259214704951482,-0.3317985501146173,-0.12004439087567916,-0.5054591074460775,-0.7597390691679917,-0.25117914572416317,-0.16,-0.23221677803878427,-0.08778322196121575,25,16,59
permuted_source_outcomes_98156,98156,0.1405285166491696,0.0175560684857006,0.2635009648126386,-0.12893606678670197,-0.35934172344418747,0.1014695898707835,-0.13,-0.20707722481938867,-0.05292277518061135,51,11,38
permuted_source_outcomes_98157,98157,0.1796818557348207,0.07308645040723859,0.2862772610624028,0.04094399690634104,-0.1963307888002463,0.2782187826129284,-0.16,-0.23221677803878427,-0.08778322196121575,64,8,28
permuted_source_outcomes_98158,98158,-0.020273588098436875,-0.13251523043384913,0.09196805423697539,-0.39087048573563365,-0.6221195242097066,-0.15962144726156066,-0.16,-0.23221677803878427,-0.08778322196121575,47,16,37
permuted_source_outcomes_98159,98159,0.0999962137335342,-0.017204127238501468,0.21719655470556987,-0.20115586164259594,-0.42918564096729517,0.026873917682103288,-0.16,-0.23221677803878427,-0.08778322196121575,57,13,30
permuted_source_outcomes_98160,98160,0.13132500977402833,-0.01035947677860441,0.27300949632666105,0.017142040054495707,-0.26011902280384197,0.2944031029128334,-0.16,-0.23221677803878427,-0.08778322196121575,47,12,41
permuted_source_outcomes_98161,98161,-0.08364073546518838,-0.22324859237892936,0.05596712144855259,-0.4408413761824202,-0.7368262668924519,-0.14485648547238855,-0.15,-0.22565445102302942,-0.07434554897697057,39,20,41
permuted_source_outcomes_98162,98162,0.49353069308900194,0.36534442711228293,0.621716959065721,0.5662112838995931,0.3102894578638074,0.8221331099353788,-0.02,-0.11231125214580978,0.07231125214580977,77,7,16
permuted_source_outcomes_98163,98163,0.1701953512573643,0.039968401619507016,0.3004223008952216,-0.2120105008175124,-0.4560604871723314,0.03203948553730654,-0.15,-0.22565445102302942,-0.07434554897697057,62,14,24
permuted_source_outcomes_98164,98164,-0.16546332829625407,-0.26831653588191207,-0.06261012071059609,-0.5865415097881312,-0.8242228708952919,-0.3488601486809706,-0.16,-0.23221677803878427,-0.08778322196121575,33,16,51
permuted_source_outcomes_98165,98165,-0.017404413827991093,-0.117531653145967,0.08272282548998483,-0.43715067645198585,-0.6626883069829332,-0.21161304592103844,-0.16,-0.23221677803878427,-0.08778322196121575,46,16,38
permuted_source_outcomes_98166,98166,0.10317379832456586,-0.008071591036777334,0.21441918768590906,-0.26486166487525953,-0.4960690467913017,-0.033654282959217324,-0.16,-0.23221677803878427,-0.08778322196121575,59,12,29
permuted_source_outcomes_98167,98167,0.21641773997613364,0.08182894004135738,0.3510065399109099,-0.0357333926324456,-0.28159652176472344,0.21012973649983224,-0.15,-0.2203385751313968,-0.0796614248686032,59,10,31
permuted_source_outcomes_98168,98168,0.02815096627509663,-0.11180550282378436,0.16810743537397763,-0.05305844233078174,-0.3371215685942537,0.23100468393269022,0.09,-0.014589000329379709,0.1945890003293797,39,17,44
permuted_source_outcomes_98169,98169,-0.16503310764106768,-0.27925553086553584,-0.05081068441659954,-0.4093647697886748,-0.674011067522645,-0.14471847205470462,-0.13,-0.21195718024639082,-0.04804281975360919,38,14,48
permuted_source_outcomes_98170,98170,-0.0706185206397009,-0.21043326731209738,0.0691962260326956,-0.47502638746934234,-0.7585298027489891,-0.19152297218969555,-0.15,-0.22565445102302942,-0.07434554897697057,39,14,47
permuted_source_outcomes_98171,98171,-0.003559790453927585,-0.13968834752818124,0.13256876662032605,-0.35860030550363264,-0.6185260713179256,-0.0986745396893397,-0.16,-0.23221677803878427,-0.08778322196121575,41,18,41
permuted_source_outcomes_98172,98172,0.07635892413376853,-0.034268023345930834,0.1869858716134679,-0.225398658711512,-0.45310870786754964,0.0023113904445256628,-0.16,-0.23221677803878427,-0.08778322196121575,52,12,36
permuted_source_outcomes_98173,98173,-0.27474333935572626,-0.3851155667143551,-0.1643711119970974,-0.7022299813502942,-0.939043672631354,-0.46541629006923446,-0.15,-0.22565445102302942,-0.07434554897697057,19,21,60
permuted_source_outcomes_98174,98174,0.3083780515786099,0.14466249041644486,0.472093612740775,0.11578608143233506,-0.1833778714721463,0.4149500343368164,-0.13,-0.21195718024639082,-0.04804281975360919,57,10,33
permuted_source_outcomes_98175,98175,0.025371432899165963,-0.08915973251214503,0.13990259831047697,-0.17354286002643565,-0.4397116259057839,0.09262590585291258,-0.16,-0.23221677803878427,-0.08778322196121575,55,14,31
permuted_source_outcomes_98176,98176,0.3708988294629917,0.2162368248069128,0.5255608341190705,0.1747407468798248,-0.1034562038896126,0.45293769764926217,-0.15,-0.22565445102302942,-0.07434554897697057,67,8,25
permuted_source_outcomes_98177,98177,-0.23730696893493053,-0.34965154993169884,-0.12496238793816224,-0.5023876944737456,-0.7566504369974006,-0.24812495195009066,-0.14,-0.21889339694047966,-0.061106603059520384,25,17,58
permuted_source_outcomes_98178,98178,-0.12547193961120995,-0.22870078307042604,-0.022243096151993852,-0.5493314675411379,-0.7936511016960414,-0.3050118333862345,-0.16,-0.23221677803878427,-0.08778322196121575,43,14,43
permuted_source_outcomes_98179,98179,-0.057758776534265394,-0.16730260494222504,0.051785051873694254,-0.4253455984579874,-0.6527506799924895,-0.19794051692348533,-0.16,-0.23221677803878427,-0.08778322196121575,43,16,41
permuted_source_outcomes_98180,98180,0.40845377977665825,0.2784075898620804,0.538499969691236,0.2836132588688709,0.03535988255934264,0.5318666351783992,-0.1,-0.18586482211457542,-0.014135177885424594,75,10,15
permuted_source_outcomes_98181,98181,0.36117634468170384,0.2341833559570194,0.4881693334063883,-0.09555378226487093,-0.33112530916860494,0.14001774463886307,-0.15,-0.22565445102302942,-0.07434554897697057,69,11,20
permuted_source_outcomes_98182,98182,-0.18833640604306523,-0.2997088505690354,-0.07696396151709506,-0.6450594628496549,-0.8915589563273826,-0.39855996937192717,-0.15,-0.22565445102302942,-0.07434554897697057,32,18,50
permuted_source_outcomes_98183,98183,-0.15914481870270256,-0.2971766588101141,-0.021112978595291015,-0.3525579534729227,-0.6512374651901107,-0.053878441755734696,-0.05,-0.14800000000000002,0.048,27,18,55
permuted_source_outcomes_98184,98184,-0.1747812331500848,-0.27670340541499805,-0.07285906088517159,-0.5945444136916647,-0.8242046005495661,-0.3648842268337632,-0.16,-0.23221677803878427,-0.08778322196121575,33,16,51
permuted_source_outcomes_98185,98185,-0.08405593459820823,-0.21328903147543588,0.04517716227901941,-0.4574817998091333,-0.7133070635953909,-0.20165653602287575,-0.16,-0.23221677803878427,-0.08778322196121575,40,15,45
permuted_source_outcomes_98186,98186,-0.04104159630329138,-0.16391666291073598,0.08183347030415321,-0.4126712709894409,-0.6619379570247961,-0.16340458495408572,-0.16,-0.23221677803878427,-0.08778322196121575,44,15,41
