best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
60.1988,real_moleculenet_freesolv_continuous,63.5063,llm_direct_prior_random_rule_r2_double_bond_restriction,44006,34.8538,0
79.7843,real_moleculenet_freesolv_continuous,93.3018,llm_direct_prior_random_rule_r2_hydrogen_bonding_effect,44006,5.0583,1
64.0311,real_moleculenet_freesolv_continuous,65.0673,llm_direct_prior_random_rule_r2_ring_structure_influence,44006,33.2928,0
74.7175,real_moleculenet_freesolv_continuous,93.3018,llm_direct_prior_random_rule_r3_branching_effect_on_solubility,44006,5.0583,1
83.5438,real_moleculenet_freesolv_continuous,93.163,llm_direct_prior_random_rule_r3_double_bond_restriction,44006,5.1971,1
60.1988,real_moleculenet_freesolv_continuous,63.5063,llm_direct_prior_random_rule_r3_hydrogen_bonding_effect,44006,34.8538,0
61.0449,real_moleculenet_freesolv_continuous,86.3185,llm_direct_prior_random_rule_r3_ring_structure_influence,44006,12.0416,0
63.5786,real_moleculenet_freesolv_continuous,70.2661,llm_direct_prior_ring_structure_influence,44006,28.094,0
62.3277,real_moleculenet_freesolv_continuous,62.855,mixed_kernel_gp_ei,44006,35.5051,0
60.8388,real_moleculenet_freesolv_continuous,61.254,gp_ucb,44007,37.1061,0
60.0751,real_moleculenet_freesolv_continuous,93.163,llm_direct_prior_branching_effect_on_solubility,44007,5.1971,1
63.7961,real_moleculenet_freesolv_continuous,73.9621,llm_direct_prior_double_bond_restriction,44007,24.398,0
86.2078,real_moleculenet_freesolv_continuous,98.3601,llm_direct_prior_hydrogen_bonding_effect,44007,0.0,1
63.3663,real_moleculenet_freesolv_continuous,89.7154,llm_direct_prior_random_rule_r1_branching_effect_on_solubility,44007,8.6447,1
63.7961,real_moleculenet_freesolv_continuous,73.9621,llm_direct_prior_random_rule_r1_double_bond_restriction,44007,24.398,0
69.6396,real_moleculenet_freesolv_continuous,97.6432,llm_direct_prior_random_rule_r1_hydrogen_bonding_effect,44007,0.7169,1
65.5706,real_moleculenet_freesolv_continuous,97.6432,llm_direct_prior_random_rule_r1_ring_structure_influence,44007,0.7169,1
60.0751,real_moleculenet_freesolv_continuous,93.163,llm_direct_prior_random_rule_r2_branching_effect_on_solubility,44007,5.1971,1
