dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,transfer_gate_v1,16,98.6922,95.5554,1.3078,1,2,2,0,7,27165,48,0.4418,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,16,98.6922,95.8006,1.3078,1,0,0,0,7,26193,48,0.4418,0.5,0
real_suzuki_miyaura,no_care_random,17,90.7497,90.7497,9.2503,0,0,0,0,0,0,48,0.3583,0.5,0
real_suzuki_miyaura,incumbent,17,97.4549,96.6879,2.5451,0,0,0,0,0,0,48,0.3583,0.5,0
real_suzuki_miyaura,target_local_no_gate,17,97.4549,96.6879,2.5451,0,0,0,0,0,0,48,0.3583,0.5,0
real_suzuki_miyaura,target_local_gate_v1,17,97.4549,96.6879,2.5451,0,0,0,0,0,0,48,0.3583,0.5,0
real_suzuki_miyaura,transfer_no_gate,17,97.4616,96.6906,2.5384,0,1,0,0,7,32929,48,0.3583,0.5,0
real_suzuki_miyaura,transfer_gate_v1,17,97.4616,96.6906,2.5384,0,1,0,0,7,32929,48,0.3583,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,17,97.4616,96.6906,2.5384,0,1,0,0,7,32929,48,0.3583,0.5,0
real_suzuki_miyaura,no_care_random,18,89.8003,89.8003,10.1997,0,0,0,0,0,0,48,0.3941,0.5,0
real_suzuki_miyaura,incumbent,18,94.8183,94.8183,5.1817,0,0,0,0,0,0,48,0.3941,0.5,0
real_suzuki_miyaura,target_local_no_gate,18,94.8183,94.8183,5.1817,0,0,0,0,0,0,48,0.3941,0.5,0
real_suzuki_miyaura,target_local_gate_v1,18,94.8183,94.8183,5.1817,0,0,0,0,0,0,48,0.3941,0.5,0
real_suzuki_miyaura,transfer_no_gate,18,95.8566,95.2336,4.1434,0,2,1,0,7,32473,48,0.3941,0.5,0
real_suzuki_miyaura,transfer_gate_v1,18,95.8566,95.2336,4.1434,0,2,1,0,7,32473,48,0.3941,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,18,94.8183,94.8183,5.1817,0,0,0,0,7,28673,48,0.3941,0.5,0
real_suzuki_miyaura,no_care_random,19,72.8204,72.8204,27.1796,0,0,0,0,0,0,48,0.4178,0.5,0
real_suzuki_miyaura,incumbent,19,87.814,85.4643,12.186,0,0,0,0,0,0,48,0.4178,0.5,0
real_suzuki_miyaura,target_local_no_gate,19,87.814,85.4643,12.186,0,0,0,0,0,0,48,0.4178,0.5,0
real_suzuki_miyaura,target_local_gate_v1,19,87.814,85.4643,12.186,0,0,0,0,0,0,48,0.4178,0.5,0
real_suzuki_miyaura,transfer_no_gate,19,84.7999,83.988,15.2001,0,5,1,0,7,31919,48,0.4178,0.5,0
real_suzuki_miyaura,transfer_gate_v1,19,84.7999,83.988,15.2001,0,5,1,0,7,31919,48,0.4178,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,19,83.8978,83.8978,16.1022,0,3,0,0,7,32855,48,0.4178,0.5,0
real_suzuki_miyaura,no_care_random,20,90.794,85.1642,9.206,0,0,0,0,0,0,48,0.3143,0.5,0
real_suzuki_miyaura,incumbent,20,93.4276,90.906,6.5724,0,0,0,0,0,0,48,0.3143,0.5,0
real_suzuki_miyaura,target_local_no_gate,20,93.4276,90.906,6.5724,0,0,0,0,0,0,48,0.3143,0.5,0
real_suzuki_miyaura,target_local_gate_v1,20,93.4276,90.906,6.5724,0,0,0,0,0,0,48,0.3143,0.5,0
real_suzuki_miyaura,transfer_no_gate,20,93.4276,90.906,6.5724,0,5,1,0,7,36164,48,0.3143,0.5,0
real_suzuki_miyaura,transfer_gate_v1,20,93.4276,90.906,6.5724,0,5,1,0,7,36164,48,0.3143,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,20,93.4276,90.906,6.5724,0,3,1,0,7,35764,48,0.3143,0.5,0
real_suzuki_miyaura,no_care_random,21,88.7044,85.7159,11.2956,0,0,0,0,0,0,48,0.3974,0.5,0
real_suzuki_miyaura,incumbent,21,91.8802,90.492,8.1198,0,0,0,0,0,0,48,0.3974,0.5,0
real_suzuki_miyaura,target_local_no_gate,21,91.8802,90.492,8.1198,0,0,0,0,0,0,48,0.3974,0.5,0
real_suzuki_miyaura,target_local_gate_v1,21,91.8802,90.492,8.1198,0,0,0,0,0,0,48,0.3974,0.5,0
real_suzuki_miyaura,transfer_no_gate,21,94.0778,90.9315,5.9222,0,5,3,0,7,31091,48,0.3974,0.5,0
real_suzuki_miyaura,transfer_gate_v1,21,94.0778,90.9315,5.9222,0,5,3,0,7,31091,48,0.3974,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,21,94.0778,90.9315,5.9222,0,5,3,0,7,31091,48,0.3974,0.5,0
real_suzuki_miyaura,no_care_random,22,88.0602,85.6453,11.9398,0,0,0,0,0,0,48,0.3589,0.5,0
real_suzuki_miyaura,incumbent,22,91.8179,83.6703,8.1821,0,0,0,0,0,0,48,0.3589,0.5,0
real_suzuki_miyaura,target_local_no_gate,22,91.8179,83.6703,8.1821,0,0,0,0,0,0,48,0.3589,0.5,0
real_suzuki_miyaura,target_local_gate_v1,22,91.8179,83.6703,8.1821,0,0,0,0,0,0,48,0.3589,0.5,0
real_suzuki_miyaura,transfer_no_gate,22,91.4527,82.7237,8.5473,0,4,0,0,7,28760,48,0.3589,0.5,0
real_suzuki_miyaura,transfer_gate_v1,22,91.4527,82.7237,8.5473,0,4,0,0,7,28760,48,0.3589,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,22,94.5734,84.2348,5.4266,0,5,1,0,7,29745,48,0.3589,0.5,0
real_suzuki_miyaura,no_care_random,23,93.6679,92.3875,6.3321,0,0,0,0,0,0,48,0.3804,0.5,0
real_suzuki_miyaura,incumbent,23,93.6487,93.6214,6.3513,0,0,0,0,0,0,48,0.3804,0.5,0
real_suzuki_miyaura,target_local_no_gate,23,93.6487,93.6214,6.3513,0,0,0,0,0,0,48,0.3804,0.5,0
real_suzuki_miyaura,target_local_gate_v1,23,93.6487,93.6214,6.3513,0,0,0,0,0,0,48,0.3804,0.5,0
real_suzuki_miyaura,transfer_no_gate,23,98.6922,96.7609,1.3078,1,4,0,0,7,33643,48,0.3804,0.5,0
real_suzuki_miyaura,transfer_gate_v1,23,98.6922,96.7609,1.3078,1,4,0,0,7,33643,48,0.3804,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,23,95.9532,94.3127,4.0468,0,2,1,0,7,34369,48,0.3804,0.5,0
real_suzuki_miyaura,no_care_random,24,88.5466,88.5466,11.4534,0,0,0,0,0,0,48,0.4124,0.5,0
real_suzuki_miyaura,incumbent,24,93.0473,93.0473,6.9527,0,0,0,0,0,0,48,0.4124,0.5,0
real_suzuki_miyaura,target_local_no_gate,24,93.0473,93.0473,6.9527,0,0,0,0,0,0,48,0.4124,0.5,0
real_suzuki_miyaura,target_local_gate_v1,24,93.0473,93.0473,6.9527,0,0,0,0,0,0,48,0.4124,0.5,0
real_suzuki_miyaura,transfer_no_gate,24,93.0473,93.0473,6.9527,0,4,4,0,7,35764,48,0.4124,0.5,0
real_suzuki_miyaura,transfer_gate_v1,24,93.0473,93.0473,6.9527,0,4,4,0,7,35764,48,0.4124,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,24,93.0473,93.0473,6.9527,0,1,1,0,7,35384,48,0.4124,0.5,0
real_suzuki_miyaura,no_care_random,25,100.0,100.0,0.0,1,0,0,0,0,0,48,0.3864,0.5,0
