target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93079,3,10,baumgartner_cn_aniline_ephos_025;baumgartner_cn_aniline_ephos_011;baumgartner_cn_aniline_ephos_000,,98.6297,92.20688,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93080,3,10,baumgartner_cn_aniline_ephos_007;baumgartner_cn_aniline_ephos_012;baumgartner_cn_aniline_ephos_004,,98.6297,98.6297,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93081,3,10,baumgartner_cn_aniline_ephos_002;baumgartner_cn_aniline_ephos_000;baumgartner_cn_aniline_ephos_014,,98.6297,85.69064,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93082,3,10,baumgartner_cn_aniline_ephos_013;baumgartner_cn_aniline_ephos_008;baumgartner_cn_aniline_ephos_026,,98.6297,91.81442,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93083,3,10,baumgartner_cn_aniline_ephos_009;baumgartner_cn_aniline_ephos_007;baumgartner_cn_aniline_ephos_032,,98.6297,98.6297,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93084,3,10,baumgartner_cn_aniline_ephos_008;baumgartner_cn_aniline_ephos_030;baumgartner_cn_aniline_ephos_028,,98.6297,93.87777,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93085,3,10,baumgartner_cn_aniline_ephos_015;baumgartner_cn_aniline_ephos_029;baumgartner_cn_aniline_ephos_000,,96.4441,91.98832,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93086,3,10,baumgartner_cn_aniline_ephos_008;baumgartner_cn_aniline_ephos_021;baumgartner_cn_aniline_ephos_022,,96.4441,93.47358,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93087,3,10,baumgartner_cn_aniline_ephos_030;baumgartner_cn_aniline_ephos_018;baumgartner_cn_aniline_ephos_011,,81.5915,52.57835,17.0382,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93088,3,10,baumgartner_cn_aniline_ephos_016;baumgartner_cn_aniline_ephos_010;baumgartner_cn_aniline_ephos_019,,98.6297,81.13299,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93089,3,10,baumgartner_cn_aniline_ephos_019;baumgartner_cn_aniline_ephos_034;baumgartner_cn_aniline_ephos_017,,96.4441,96.4441,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93090,3,10,baumgartner_cn_aniline_ephos_027;baumgartner_cn_aniline_ephos_029;baumgartner_cn_aniline_ephos_012,,98.6297,71.18405,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93091,3,10,baumgartner_cn_aniline_ephos_009;baumgartner_cn_aniline_ephos_000;baumgartner_cn_aniline_ephos_014,,96.4441,89.52988,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93092,3,10,baumgartner_cn_aniline_ephos_021;baumgartner_cn_aniline_ephos_002;baumgartner_cn_aniline_ephos_008,,96.4441,85.30227,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93093,3,10,baumgartner_cn_aniline_ephos_013;baumgartner_cn_aniline_ephos_031;baumgartner_cn_aniline_ephos_015,,96.4441,92.71958,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93094,3,10,baumgartner_cn_aniline_ephos_010;baumgartner_cn_aniline_ephos_001;baumgartner_cn_aniline_ephos_014,,96.4441,87.91989,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93095,3,10,baumgartner_cn_aniline_ephos_020;baumgartner_cn_aniline_ephos_019;baumgartner_cn_aniline_ephos_018,,98.6297,93.05249,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93096,3,10,baumgartner_cn_aniline_ephos_028;baumgartner_cn_aniline_ephos_015;baumgartner_cn_aniline_ephos_024,,96.4441,93.44065,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93097,3,10,baumgartner_cn_aniline_ephos_002;baumgartner_cn_aniline_ephos_024;baumgartner_cn_aniline_ephos_001,,98.6297,93.69214,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93098,3,10,baumgartner_cn_aniline_ephos_011;baumgartner_cn_aniline_ephos_007;baumgartner_cn_aniline_ephos_019,,98.6297,98.6297,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93099,3,10,baumgartner_cn_aniline_ephos_027;baumgartner_cn_aniline_ephos_026;baumgartner_cn_aniline_ephos_023,,96.4441,65.93928,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_space_filling,-1,3,10,baumgartner_cn_aniline_ephos_000;baumgartner_cn_aniline_ephos_005;baumgartner_cn_aniline_ephos_008,,96.4441,91.98832,2.1856,1
real_baumgartner_cn_aniline_ephos,warmstart_all_0.85,-1,3,10,baumgartner_cn_aniline_ephos_033;baumgartner_cn_aniline_ephos_006;baumgartner_cn_aniline_ephos_017,real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,96.4441,96.4441,2.1856,1
real_baumgartner_cn_aniline_ephos,warmstart_all_1.00_q0.50,-1,3,10,baumgartner_cn_aniline_ephos_033;baumgartner_cn_aniline_ephos_019;baumgartner_cn_aniline_ephos_014,real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,96.4441,96.4441,2.1856,1
real_baumgartner_cn_aniline_ephos,warmstart_same_substrate_then_precatalyst_0.40,-1,3,10,baumgartner_cn_aniline_ephos_032;baumgartner_cn_aniline_ephos_031;baumgartner_cn_aniline_ephos_028,real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos,96.4441,94.04134,2.1856,1
