source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations,experiment_id
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81019,3,12,99.8,90.85,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81019,3,12,94.1,93.6,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81019,3,12,94.1,93.1,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81019,3,12,99.8,96.85,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81019,3,12,99.8,90.85,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81020,3,12,95.5,90.75,4.3,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81020,3,12,94.1,92.633333,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81020,3,12,99.8,96.95,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81020,3,12,99.8,92.55,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81020,3,12,95.5,90.75,4.3,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81021,3,12,95.0,87.058333,4.8,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81021,3,12,94.1,91.375,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81021,3,12,94.1,89.375,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81021,3,12,95.5,88.45,4.3,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81021,3,12,95.0,87.058333,4.8,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81022,3,12,99.8,97.275,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81022,3,12,94.1,94.1,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81022,3,12,94.1,94.1,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81022,3,12,99.5,97.7,0.3,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81022,3,12,99.8,97.275,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81023,3,12,95.0,94.45,4.8,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81023,3,12,94.1,94.1,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81023,3,12,95.5,94.45,4.3,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81023,3,12,99.8,98.85,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81023,3,12,95.0,94.45,4.8,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81024,3,12,95.0,87.533333,4.8,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81024,3,12,94.1,92.633333,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81024,3,12,90.5,89.033333,9.3,0,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81024,3,12,95.0,87.533333,4.8,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81024,3,12,95.0,87.533333,4.8,1,3,288,reizman_cases_123_to_case4
